Easting,Northing,Elevation
398000,304000,152.9
398420,304000,143.9
398840,304000,135.7
399260,304000,128.8
399680,304000,123.6
400100,304000,120.4
400520,304000,119.4
400940,304000,120.6
401360,304000,123.9
401780,304000,129.2
402200,304000,136.0
402620,304000,144.0
403040,304000,152.5
403460,304000,161.0
403880,304000,169.0
404300,304000,175.7
404720,304000,180.6
405140,304000,183.2
405560,304000,183.1
405980,304000,180.1
406400,304000,173.8
406820,304000,164.4
407240,304000,152.0
407660,304000,136.7
408080,304000,119.1
408500,304000,99.5
408920,304000,78.6
409340,304000,57.1
409760,304000,35.6
410180,304000,14.9
410600,304000,0
411020,304000,0
411440,304000,0
411860,304000,0
412280,304000,0
412700,304000,0
413120,304000,0
413540,304000,0
413960,304000,0
414380,304000,0
414800,304000,0
415220,304000,0
415640,304000,0
416060,304000,0
416480,304000,2.3
416900,304000,12.7
417320,304000,21.5
417740,304000,28.6
418160,304000,33.6
418580,304000,36.3
419000,304000,36.7
419420,304000,35.0
419840,304000,31.5
420260,304000,26.4
420680,304000,20.3
421100,304000,13.7
421520,304000,7.1
421940,304000,1.3
422360,304000,0
422780,304000,0
423200,304000,0
423620,304000,0
424040,304000,0.7
424460,304000,8.7
424880,304000,19.6
425300,304000,33.4
425720,304000,49.5
426140,304000,67.8
426560,304000,87.5
426980,304000,108.1
398000,304420,146.2
398420,304420,137.1
398840,304420,128.7
399260,304420,121.7
399680,304420,116.5
400100,304420,113.2
400520,304420,112.2
400940,304420,113.5
401360,304420,116.9
401780,304420,122.3
402200,304420,129.3
402620,304420,137.4
403040,304420,146.1
403460,304420,154.9
403880,304420,163.1
404300,304420,170.1
404720,304420,175.3
405140,304420,178.3
405560,304420,178.6
405980,304420,175.9
406400,304420,170.1
406820,304420,161.1
407240,304420,149.1
407660,304420,134.2
408080,304420,117.0
408500,304420,97.9
408920,304420,77.5
409340,304420,56.4
409760,304420,35.3
410180,304420,15.0
410600,304420,0
411020,304420,0
411440,304420,0
411860,304420,0
412280,304420,0
412700,304420,0
413120,304420,0
413540,304420,0
413960,304420,0
414380,304420,0
414800,304420,0
415220,304420,0
415640,304420,0
416060,304420,0
416480,304420,6.1
416900,304420,16.4
417320,304420,25.2
417740,304420,32.2
418160,304420,37.0
418580,304420,39.6
419000,304420,39.9
419420,304420,38.0
419840,304420,34.2
420260,304420,28.8
420680,304420,22.4
421100,304420,15.5
421520,304420,8.6
421940,304420,2.4
422360,304420,0
422780,304420,0
423200,304420,0
423620,304420,0
424040,304420,0
424460,304420,7.3
424880,304420,17.8
425300,304420,31.1
425720,304420,46.8
426140,304420,64.6
426560,304420,83.9
426980,304420,104.1
398000,304840,137.9
398420,304840,128.6
398840,304840,120.1
399260,304840,113.0
399680,304840,107.7
400100,304840,104.4
400520,304840,103.4
400940,304840,104.7
401360,304840,108.2
401780,304840,113.7
402200,304840,120.9
402620,304840,129.2
403040,304840,138.2
403460,304840,147.2
403880,304840,155.7
404300,304840,163.0
404720,304840,168.6
405140,304840,172.0
405560,304840,172.7
405980,304840,170.5
406400,304840,165.1
406820,304840,156.6
407240,304840,145.1
407660,304840,130.7
408080,304840,114.0
408500,304840,95.4
408920,304840,75.5
409340,304840,54.9
409760,304840,34.3
410180,304840,14.4
410600,304840,0
411020,304840,0
411440,304840,0
411860,304840,0
412280,304840,0
412700,304840,0
413120,304840,0
413540,304840,0
413960,304840,0
414380,304840,0
414800,304840,0
415220,304840,0
415640,304840,0
416060,304840,0
416480,304840,9.6
416900,304840,19.9
417320,304840,28.7
417740,304840,35.6
418160,304840,40.3
418580,304840,42.7
419000,304840,42.8
419420,304840,40.6
419840,304840,36.6
420260,304840,30.9
420680,304840,24.1
421100,304840,16.8
421520,304840,9.6
421940,304840,2.9
422360,304840,0
422780,304840,0
423200,304840,0
423620,304840,0
424040,304840,0
424460,304840,5.0
424880,304840,15.0
425300,304840,27.8
425720,304840,43.0
426140,304840,60.3
426560,304840,79.1
426980,304840,98.9
398000,305260,128.2
398420,305260,118.7
398840,305260,110.0
399260,305260,102.7
399680,305260,97.3
400100,305260,94.0
400520,305260,93.0
400940,305260,94.4
401360,305260,98.0
401780,305260,103.6
402200,305260,111.0
402620,305260,119.5
403040,305260,128.8
403460,305260,138.1
403880,305260,147.0
404300,305260,154.7
404720,305260,160.7
405140,305260,164.5
405560,305260,165.7
405980,305260,163.9
406400,305260,159.1
406820,305260,151.1
407240,305260,140.1
407660,305260,126.3
408080,305260,110.1
408500,305260,92.1
408920,305260,72.7
409340,305260,52.6
409760,305260,32.6
410180,305260,13.3
410600,305260,0
411020,305260,0
411440,305260,0
411860,305260,0
412280,305260,0
412700,305260,0
413120,305260,0
413540,305260,0
413960,305260,0
414380,305260,0
414800,305260,0
415220,305260,0
415640,305260,0
416060,305260,1.8
416480,305260,13.1
416900,305260,23.4
417320,305260,32.1
417740,305260,38.9
418160,305260,43.5
418580,305260,45.7
419000,305260,45.5
419420,305260,43.1
419840,305260,38.7
420260,305260,32.7
420680,305260,25.6
421100,305260,17.8
421520,305260,10.1
421940,305260,3.0
422360,305260,0
422780,305260,0
423200,305260,0
423620,305260,0
424040,305260,0
424460,305260,1.9
424880,305260,11.3
425300,305260,23.6
425720,305260,38.3
426140,305260,55.0
426560,305260,73.3
426980,305260,92.5
398000,305680,117.1
398420,305680,107.4
398840,305680,98.5
399260,305680,91.1
399680,305680,85.6
400100,305680,82.3
400520,305680,81.3
400940,305680,82.7
401360,305680,86.4
401780,305680,92.2
402200,305680,99.7
402620,305680,108.6
403040,305680,118.1
403460,305680,127.8
403880,305680,137.0
404300,305680,145.1
404720,305680,151.6
405140,305680,155.9
405560,305680,157.5
405980,305680,156.3
406400,305680,152.0
406820,305680,144.6
407240,305680,134.2
407660,305680,121.0
408080,305680,105.5
408500,305680,88.0
408920,305680,69.3
409340,305680,49.8
409760,305680,30.4
410180,305680,11.7
410600,305680,0
411020,305680,0
411440,305680,0
411860,305680,0
412280,305680,0
412700,305680,0
413120,305680,0
413540,305680,0
413960,305680,0
414380,305680,0
414800,305680,0
415220,305680,0
415640,305680,0
416060,305680,5.1
416480,305680,16.5
416900,305680,26.8
417320,305680,35.5
417740,305680,42.1
418160,305680,46.6
418580,305680,48.6
419000,305680,48.1
419420,305680,45.4
419840,305680,40.7
420260,305680,34.3
420680,305680,26.7
421100,305680,18.6
421520,305680,10.4
421940,305680,2.8
422360,305680,0
422780,305680,0
423200,305680,0
423620,305680,0
424040,305680,0
424460,305680,0
424880,305680,7.0
425300,305680,18.6
425720,305680,32.7
426140,305680,48.9
426560,305680,66.6
426980,305680,85.2
398000,306100,104.9
398420,306100,94.9
398840,306100,85.9
399260,306100,78.3
399680,306100,72.7
400100,306100,69.3
400520,306100,68.4
400940,306100,69.8
401360,306100,73.7
401780,306100,79.6
402200,306100,87.4
402620,306100,96.5
403040,306100,106.3
403460,306100,116.4
403880,306100,126.0
404300,306100,134.6
404720,306100,141.5
405140,306100,146.3
405560,306100,148.5
405980,306100,147.9
406400,306100,144.2
406820,306100,137.4
407240,306100,127.6
407660,306100,115.1
408080,306100,100.2
408500,306100,83.4
408920,306100,65.3
409340,306100,46.5
409760,306100,27.8
410180,306100,9.7
410600,306100,0
411020,306100,0
411440,306100,0
411860,306100,0
412280,306100,0
412700,306100,0
413120,306100,0
413540,306100,0
413960,306100,0
414380,306100,0
414800,306100,0
415220,306100,0
415640,306100,0
416060,306100,8.6
416480,306100,20.0
416900,306100,30.2
417320,306100,38.8
417740,306100,45.4
418160,306100,49.6
418580,306100,51.4
419000,306100,50.7
419420,306100,47.7
419840,306100,42.6
420260,306100,35.8
420680,306100,27.8
421100,306100,19.1
421520,306100,10.4
421940,306100,2.2
422360,306100,0
422780,306100,0
423200,306100,0
423620,306100,0
424040,306100,0
424460,306100,0
424880,306100,2.0
425300,306100,13.0
425720,306100,26.4
426140,306100,41.9
426560,306100,59.0
426980,306100,77.0
398000,306520,91.9
398420,306520,81.6
398840,306520,72.3
399260,306520,64.6
399680,306520,58.9
400100,306520,55.4
400520,306520,54.5
400940,306520,56.0
401360,306520,60.0
401780,306520,66.1
402200,306520,74.1
402620,306520,83.5
403040,306520,93.7
403460,306520,104.1
403880,306520,114.2
404300,306520,123.2
404720,306520,130.7
405140,306520,136.0
405560,306520,138.8
405980,306520,138.8
406400,306520,135.8
406820,306520,129.6
407240,306520,120.5
407660,306520,108.7
408080,306520,94.5
408500,306520,78.4
408920,306520,61.0
409340,306520,42.9
409760,306520,24.9
410180,306520,7.4
410600,306520,0
411020,306520,0
411440,306520,0
411860,306520,0
412280,306520,0
412700,306520,0
413120,306520,0
413540,306520,0
413960,306520,0
414380,306520,0
414800,306520,0
415220,306520,0
415640,306520,0
416060,306520,12.1
416480,306520,23.5
416900,306520,33.8
417320,306520,42.3
417740,306520,48.8
418160,306520,52.8
418580,306520,54.3
419000,306520,53.3
419420,306520,50.0
419840,306520,44.5
420260,306520,37.2
420680,306520,28.8
421100,306520,19.6
421520,306520,10.3
421940,306520,1.6
422360,306520,0
422780,306520,0
423200,306520,0
423620,306520,0
424040,306520,0
424460,306520,0
424880,306520,0
425300,306520,6.9
425720,306520,19.6
426140,306520,34.5
426560,306520,50.9
426980,306520,68.2
398000,306940,78.1
398420,306940,67.5
398840,306940,58.0
399260,306940,50.2
399680,306940,44.3
400100,306940,40.8
400520,306940,39.9
400940,306940,41.5
401360,306940,45.6
401780,306940,51.9
402200,306940,60.1
402620,306940,69.8
403040,306940,80.4
403460,306940,91.2
403880,306940,101.7
404300,306940,111.3
404720,306940,119.3
405140,306940,125.2
405560,306940,128.6
405980,306940,129.3
406400,306940,126.9
406820,306940,121.5
407240,306940,113.1
407660,306940,102.0
408080,306940,88.5
408500,306940,73.2
408920,306940,56.5
409340,306940,39.2
409760,306940,21.8
410180,306940,5.1
410600,306940,0
411020,306940,0
411440,306940,0
411860,306940,0
412280,306940,0
412700,306940,0
413120,306940,0
413540,306940,0
413960,306940,0
414380,306940,0
414800,306940,0
415220,306940,0
415640,306940,3.6
416060,306940,15.8
416480,306940,27.3
416900,306940,37.6
417320,306940,46.0
417740,306940,52.3
418160,306940,56.2
418580,306940,57.5
419000,306940,56.2
419420,306940,52.4
419840,306940,46.5
420260,306940,38.8
420680,306940,29.8
421100,306940,20.1
421520,306940,10.3
421940,306940,0.9
422360,306940,0
422780,306940,0
423200,306940,0
423620,306940,0
424040,306940,0
424460,306940,0
424880,306940,0
425300,306940,0.5
425720,306940,12.5
426140,306940,26.6
426560,306940,42.3
426980,306940,59.0
398000,307360,63.9
398420,307360,53.0
398840,307360,43.3
399260,307360,35.2
399680,307360,29.3
400100,307360,25.8
400520,307360,24.8
400940,307360,26.5
401360,307360,30.7
401780,307360,37.3
402200,307360,45.7
402620,307360,55.7
403040,307360,66.6
403460,307360,77.9
403880,307360,88.9
404300,307360,99.0
404720,307360,107.5
405140,307360,114.1
405560,307360,118.2
405980,307360,119.5
406400,307360,117.8
406820,307360,113.1
407240,307360,105.5
407660,307360,95.1
408080,307360,82.5
408500,307360,67.9
408920,307360,52.0
409340,307360,35.4
409760,307360,18.8
410180,307360,2.9
410600,307360,0
411020,307360,0
411440,307360,0
411860,307360,0
412280,307360,0
412700,307360,0
413120,307360,0
413540,307360,0
413960,307360,0
414380,307360,0
414800,307360,0
415220,307360,0
415640,307360,7.6
416060,307360,19.9
416480,307360,31.5
416900,307360,41.7
417320,307360,50.1
417740,307360,56.2
418160,307360,59.9
418580,307360,60.9
419000,307360,59.3
419420,307360,55.2
419840,307360,48.8
420260,307360,40.7
420680,307360,31.1
421100,307360,20.8
421520,307360,10.4
421940,307360,0.3
422360,307360,0
422780,307360,0
423200,307360,0
423620,307360,0
424040,307360,0
424460,307360,0
424880,307360,0
425300,307360,0
425720,307360,5.2
426140,307360,18.6
426560,307360,33.5
426980,307360,49.5
398000,307780,49.5
398420,307780,38.3
398840,307780,28.3
399260,307780,20.1
399680,307780,14.0
400100,307780,10.5
400520,307780,9.5
400940,307780,11.3
401360,307780,15.7
401780,307780,22.4
402200,307780,31.1
402620,307780,41.4
403040,307780,52.8
403460,307780,64.5
403880,307780,75.9
404300,307780,86.5
404720,307780,95.7
405140,307780,102.9
405560,307780,107.6
405980,307780,109.6
406400,307780,108.7
406820,307780,104.8
407240,307780,97.9
407660,307780,88.4
408080,307780,76.5
408500,307780,62.7
408920,307780,47.6
409340,307780,31.9
409760,307780,16.0
410180,307780,0.8
410600,307780,0
411020,307780,0
411440,307780,0
411860,307780,0
412280,307780,0
412700,307780,0
413120,307780,0
413540,307780,0
413960,307780,0
414380,307780,0
414800,307780,0
415220,307780,0
415640,307780,12.1
416060,307780,24.5
416480,307780,36.1
416900,307780,46.3
417320,307780,54.6
417740,307780,60.6
418160,307780,64.0
418580,307780,64.8
419000,307780,62.8
419420,307780,58.3
419840,307780,51.5
420260,307780,42.9
420680,307780,32.8
421100,307780,21.9
421520,307780,10.8
421940,307780,0.1
422360,307780,0
422780,307780,0
423200,307780,0
423620,307780,0
424040,307780,0
424460,307780,0
424880,307780,0
425300,307780,0
425720,307780,0
426140,307780,10.6
426560,307780,24.8
426980,307780,40.0
398000,308200,35.2
398420,308200,23.7
398840,308200,13.5
399260,308200,5.0
399680,308200,0
400100,308200,0
400520,308200,0
400940,308200,0
401360,308200,0.6
401780,308200,7.6
402200,308200,16.6
402620,308200,27.2
403040,308200,38.9
403460,308200,51.1
403880,308200,63.1
404300,308200,74.2
404720,308200,84.0
405140,308200,91.8
405560,308200,97.3
405980,308200,100.0
406400,308200,99.8
406820,308200,96.6
407240,308200,90.6
407660,308200,81.8
408080,308200,70.8
408500,308200,57.8
408920,308200,43.6
409340,308200,28.6
409760,308200,13.6
410180,308200,0
410600,308200,0
411020,308200,0
411440,308200,0
411860,308200,0
412280,308200,0
412700,308200,0
413120,308200,0
413540,308200,0
413960,308200,0
414380,308200,0
414800,308200,0
415220,308200,4.2
415640,308200,17.0
416060,308200,29.6
416480,308200,41.2
416900,308200,51.4
417320,308200,59.6
417740,308200,65.5
418160,308200,68.7
418580,308200,69.2
419000,308200,66.9
419420,308200,62.0
419840,308200,54.7
420260,308200,45.5
420680,308200,34.9
421100,308200,23.4
421520,308200,11.7
421940,308200,0.3
422360,308200,0
422780,308200,0
423200,308200,0
423620,308200,0
424040,308200,0
424460,308200,0
424880,308200,0
425300,308200,0
425720,308200,0
426140,308200,2.8
426560,308200,16.2
426980,308200,30.7
398000,308620,21.1
398420,308620,9.3
398840,308620,0
399260,308620,0
399680,308620,0
400100,308620,0
400520,308620,0
400940,308620,0
401360,308620,0
401780,308620,0
402200,308620,2.4
402620,308620,13.3
403040,308620,25.4
403460,308620,38.1
403880,308620,50.5
404300,308620,62.3
404720,308620,72.7
405140,308620,81.1
405560,308620,87.3
405980,308620,90.7
406400,308620,91.3
406820,308620,88.9
407240,308620,83.7
407660,308620,75.8
408080,308620,65.5
408500,308620,53.4
408920,308620,40.0
409340,308620,25.9
409760,308620,11.7
410180,308620,0
410600,308620,0
411020,308620,0
411440,308620,0
411860,308620,0
