Greenhill Wind Farm - Turbine Schedule Rev C
Coordinates: OSGB36 / British National Grid. Levels: m AOD.

WTG ID,Easting,Northing,Ground Level,Hub Height,Rotor Diameter,Tip Height,Rated RPM,Tower Base Diameter,Tower Top Diameter,Blade Chord
T01,418290,324307,28.8,110,150,185,11.0,5.5,3.2,3.0
T02,418971,324352,43.3,110,150,185,11.0,5.5,3.2,3.0
T03,419527,324235,48.7,110,150,185,11.0,5.5,3.2,3.0
T04,420224,324245,37.5,110,150,185,11.0,5.5,3.2,3.0
T05,420927,324322,22.2,110,150,185,11.0,5.5,3.2,3.0
T06,418274,325117,12.5,110,150,185,11.0,5.5,3.2,3.0
T07,418876,325156,20.5,110,150,185,11.0,5.5,3.2,3.0
T08,419559,325132,30.8,110,150,185,11.0,5.5,3.2,3.0
T09,420245,325112,49.0,110,150,185,11.0,5.5,3.2,3.0
T10,420876,325189,49.5,110,150,185,11.0,5.5,3.2,3.0
T11,418275,326013,39.2,110,150,185,11.0,5.5,3.2,3.0
T12,418892,326090,26.5,110,150,185,11.0,5.5,3.2,3.0
T13,419511,326024,14.9,110,150,185,11.0,5.5,3.2,3.0
T14,420229,326080,15.8,110,150,185,11.0,5.5,3.2,3.0
